City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.42,19.23,46.004000000000055,89.0,100.0,5.06,ZA,08-18-2020
bandarbeyla,9.49,50.81,77.70200000000008,76.0,100.0,14.05,SO,08-18-2020
georgetown,5.41,100.34,80.6,94.0,20.0,1.5,MY,08-18-2020
hilo,19.73,-155.09,78.00800000000001,83.0,90.0,3.1,US,08-18-2020
albany,42.6,-73.97,78.00800000000001,41.0,7.0,5.02,US,08-18-2020
victoria,22.29,114.16,78.99800000000002,88.0,75.0,11.3,HK,08-18-2020
olinda,-8.01,-34.86,80.6,69.0,40.0,6.2,BR,08-18-2020
eenhana,-17.47,16.33,69.8,12.0,0.0,2.6,NA,08-18-2020
hobart,-42.88,147.33,44.6,75.0,75.0,3.6,AU,08-18-2020
ushuaia,-54.8,-68.3,35.6,64.0,75.0,5.7,AR,08-18-2020
tuatapere,-46.13,167.68,43.93399999999999,84.0,100.0,3.1,NZ,08-18-2020
yangambi,0.81,24.43,78.29600000000005,70.0,100.0,0.63,CD,08-18-2020
machinga,-15.17,35.3,70.62800000000007,41.0,3.0,1.33,MW,08-18-2020
salalah,17.02,54.09,77.0,100.0,90.0,1.0,OM,08-18-2020
atuona,-9.8,-139.03,79.03399999999999,75.0,0.0,9.59,PF,08-18-2020
ipora,-16.44,-51.12,96.20600000000003,16.0,0.0,3.49,BR,08-18-2020
samarinda,-0.5,117.15,73.14800000000002,97.0,61.0,1.44,ID,08-18-2020
east london,-33.02,27.91,52.86200000000006,64.0,56.0,14.79,ZA,08-18-2020
esperance,-33.87,121.9,48.2,100.0,75.0,7.2,AU,08-18-2020
venissieux,45.7,4.87,80.6,42.0,0.0,2.6,FR,08-18-2020
ust-uda,54.17,103.03,52.7,66.0,21.0,1.8,RU,08-18-2020
makakilo city,21.35,-158.09,78.8,69.0,1.0,2.1,US,08-18-2020
bogen,48.91,12.69,66.99199999999999,10.0,0.0,1.38,DE,08-18-2020
saint george,37.1,-113.58,100.4,13.0,1.0,1.56,US,08-18-2020
saint-philippe,-21.36,55.77,68.0,77.0,46.0,2.6,RE,08-18-2020
port hedland,-20.32,118.57,57.2,62.0,0.0,2.6,AU,08-18-2020
longkou,37.65,120.33,78.35,93.0,7.0,5.16,CN,08-18-2020
alice,27.75,-98.07,96.8,46.0,1.0,2.68,US,08-18-2020
kapaa,22.08,-159.32,80.00600000000003,78.0,75.0,2.6,US,08-18-2020
cidreira,-30.18,-50.21,64.31000000000009,92.0,97.0,5.21,BR,08-18-2020
souillac,-20.52,57.52,71.6,73.0,20.0,6.2,MU,08-18-2020
fairbanks,64.84,-147.72,66.00200000000008,58.0,1.0,1.5,US,08-18-2020
upernavik,72.79,-56.15,51.11600000000001,52.0,100.0,0.51,GL,08-18-2020
bilibino,68.05,166.44,39.88399999999999,86.0,100.0,2.77,RU,08-18-2020
pilot butte,50.47,-104.42,93.00200000000008,31.0,20.0,1.03,CA,08-18-2020
bluff,-46.6,168.33,47.030000000000044,75.0,100.0,6.39,NZ,08-18-2020
nikolskoye,59.7,30.79,60.8,63.0,6.0,2.0,RU,08-18-2020
busselton,-33.65,115.33,42.998000000000026,75.0,52.0,2.77,AU,08-18-2020
mahebourg,-20.41,57.7,71.6,73.0,20.0,6.2,MU,08-18-2020
lorengau,-2.02,147.27,81.266,78.0,53.0,3.48,PG,08-18-2020
vaini,-21.2,-175.2,73.4,100.0,90.0,5.7,TO,08-18-2020
palmer,42.16,-72.33,82.99400000000007,34.0,40.0,4.6,US,08-18-2020
severnoye,56.35,78.36,53.22200000000004,93.0,90.0,3.71,RU,08-18-2020
nioro,13.35,-15.75,81.98600000000008,80.0,99.0,3.94,GM,08-18-2020
hede,33.77,120.25,74.94800000000002,96.0,0.0,2.92,CN,08-18-2020
mar del plata,-38.0,-57.56,57.2,35.0,100.0,5.7,AR,08-18-2020
teknaf,20.86,92.31,79.358,92.0,100.0,4.49,BD,08-18-2020
kahului,20.89,-156.47,80.6,61.0,40.0,5.1,US,08-18-2020
pavlogradka,54.2,73.56,56.516000000000005,72.0,100.0,3.7,RU,08-18-2020
zhigansk,66.77,123.37,48.95600000000003,91.0,87.0,5.9,RU,08-18-2020
cayenne,4.93,-52.33,89.6,55.0,0.0,4.6,GF,08-18-2020
dikson,73.51,80.55,53.258,70.0,0.0,3.06,RU,08-18-2020
isangel,-19.55,169.27,68.0,88.0,20.0,3.69,VU,08-18-2020
bambous virieux,-20.34,57.76,71.99600000000005,73.0,20.0,6.2,MU,08-18-2020
saskylakh,71.92,114.08,45.518000000000086,84.0,100.0,5.36,RU,08-18-2020
carnarvon,-24.87,113.63,60.8,72.0,82.0,7.2,AU,08-18-2020
seoul,37.57,126.98,75.2,88.0,1.0,1.29,KR,08-18-2020
yellowknife,62.46,-114.35,60.8,82.0,75.0,4.1,CA,08-18-2020
port keats,-14.25,129.55,73.85,92.0,39.0,2.91,AU,08-18-2020
barrow,71.29,-156.79,46.4,93.0,90.0,6.7,US,08-18-2020
tres arroyos,-38.37,-60.28,50.88200000000002,47.0,91.0,6.99,AR,08-18-2020
san marcos,33.14,-117.17,104.0,66.0,1.0,4.1,US,08-18-2020
bredasdorp,-34.53,20.04,50.0,76.0,100.0,3.6,ZA,08-18-2020
margate,51.38,1.39,71.00600000000003,73.0,0.0,0.89,GB,08-18-2020
snezhnogorsk,69.19,33.25,50.0,81.0,0.0,2.0,RU,08-18-2020
hovd,48.01,91.64,63.68000000000004,53.0,94.0,1.21,MN,08-18-2020
waingapu,-9.66,120.26,71.54600000000005,81.0,42.0,2.72,ID,08-18-2020
calvinia,-31.47,19.78,38.08399999999999,81.0,24.0,1.87,ZA,08-18-2020
port blair,11.67,92.75,82.292,79.0,100.0,5.67,IN,08-18-2020
puerto ayora,-0.74,-90.35,78.8,61.0,40.0,11.3,EC,08-18-2020
clyde river,70.47,-68.59,60.8,59.0,75.0,2.6,CA,08-18-2020
houma,29.6,-90.72,93.00200000000008,59.0,40.0,3.1,US,08-18-2020
necochea,-38.55,-58.74,53.00600000000003,74.0,100.0,6.26,AR,08-18-2020
teacapan,22.55,-105.75,90.53600000000007,52.0,100.0,1.95,MX,08-18-2020
pacific grove,36.62,-121.92,91.99400000000007,57.0,1.0,2.1,US,08-18-2020
kijang,35.24,129.21,78.8,88.0,5.0,0.5,KR,08-18-2020
naze,28.37,129.48,78.8,100.0,20.0,1.0,JP,08-18-2020
monrovia,6.3,-10.8,77.0,94.0,75.0,5.27,LR,08-18-2020
chukhloma,58.75,42.68,46.79600000000005,86.0,0.0,2.45,RU,08-18-2020
sur,22.57,59.53,86.30600000000003,64.0,100.0,6.27,OM,08-18-2020
salamanca,40.83,-6.0,78.99800000000002,44.0,20.0,4.1,ES,08-18-2020
mersing,2.43,103.84,75.2,94.0,77.0,2.6,MY,08-18-2020
arusha,-3.37,36.68,66.2,72.0,20.0,4.1,TZ,08-18-2020
flagstaff,35.2,-111.65,87.99800000000002,20.0,20.0,4.1,US,08-18-2020
narsaq,60.92,-46.05,64.4,42.0,20.0,3.1,GL,08-18-2020
ardabil,38.25,48.29,57.2,93.0,90.0,3.1,IR,08-18-2020
porgera,-5.47,143.2,33.92600000000009,100.0,3.0,0.64,PG,08-18-2020
flinders,-34.58,150.86,53.99600000000005,65.0,0.0,0.89,AU,08-18-2020
kiamba,5.99,124.62,78.36800000000008,72.0,100.0,1.89,PH,08-18-2020
udachnyy,66.42,112.4,51.8,50.0,100.0,2.0,RU,08-18-2020
ilulissat,69.22,-51.1,53.6,40.0,75.0,1.5,GL,08-18-2020
cuiluan,47.72,128.65,54.77000000000006,89.0,100.0,0.93,CN,08-18-2020
punta arenas,-53.15,-70.92,37.4,47.0,40.0,7.7,CL,08-18-2020
jamestown,42.1,-79.24,71.99600000000005,60.0,40.0,4.6,US,08-18-2020
bosanski brod,45.14,17.99,66.2,88.0,75.0,1.5,BA,08-18-2020
chuguyevka,44.17,133.86,69.54800000000003,92.0,22.0,1.0,RU,08-18-2020
coihaique,-45.58,-72.07,42.8,38.0,20.0,5.1,CL,08-18-2020
geraldton,-28.77,114.6,46.4,100.0,40.0,3.6,AU,08-18-2020
port macquarie,-31.43,152.92,46.4,100.0,0.0,2.6,AU,08-18-2020
katsuura,35.13,140.3,80.00600000000003,90.0,63.0,0.45,JP,08-18-2020
ampanihy,-24.7,44.75,68.63000000000004,50.0,0.0,1.13,MG,08-18-2020
charters towers,-20.1,146.27,58.1,73.0,0.0,4.19,AU,08-18-2020
harindanga,22.04,88.32,80.6,94.0,75.0,1.0,IN,08-18-2020
lebu,-37.62,-73.65,49.694000000000074,67.0,57.0,4.52,CL,08-18-2020
hay river,60.82,-115.8,69.8,77.0,75.0,3.1,CA,08-18-2020
petit goave,18.43,-72.87,93.2,59.0,40.0,4.6,HT,08-18-2020
roald,62.58,6.13,66.99199999999999,82.0,18.0,1.5,NO,08-18-2020
cockburn town,21.46,-71.14,84.66800000000009,79.0,0.0,6.13,TC,08-18-2020
vaitape,-16.52,-151.75,78.96200000000006,75.0,0.0,7.7,PF,08-18-2020
lagoa,39.05,-27.98,75.74000000000002,85.0,11.0,11.73,PT,08-18-2020
kismayo,-0.36,42.55,77.18000000000004,79.0,59.0,6.9,SO,08-18-2020
inuvik,68.35,-133.72,59.0,58.0,40.0,4.6,CA,08-18-2020
diffa,13.32,12.61,82.61600000000001,61.0,3.0,3.78,NE,08-18-2020
synya,65.37,58.04,51.44000000000002,96.0,100.0,1.81,RU,08-18-2020
torbay,47.67,-52.73,62.00600000000003,77.0,90.0,7.7,CA,08-18-2020
cherskiy,68.75,161.3,41.46800000000009,85.0,100.0,4.63,RU,08-18-2020
praia da vitoria,38.73,-27.07,77.0,88.0,75.0,8.64,PT,08-18-2020
kununurra,-15.77,128.73,69.8,88.0,0.0,3.1,AU,08-18-2020
aguimes,27.91,-15.45,77.0,61.0,20.0,12.3,ES,08-18-2020
vestmannaeyjar,63.44,-20.27,53.6,87.0,20.0,8.2,IS,08-18-2020
kavieng,-2.57,150.8,81.28399999999999,80.0,2.0,3.8,PG,08-18-2020
provideniya,64.38,-173.3,51.530000000000044,70.0,100.0,3.31,RU,08-18-2020
khatanga,71.97,102.5,50.846000000000046,70.0,84.0,5.74,RU,08-18-2020
lixourion,38.2,20.43,80.6,94.0,20.0,3.1,GR,08-18-2020
severo-yeniseyskiy,60.37,93.04,51.17000000000006,73.0,100.0,1.34,RU,08-18-2020
semporna,4.48,118.61,73.4,94.0,20.0,0.5,MY,08-18-2020
warrington,53.39,-2.58,69.99800000000002,64.0,10.0,4.6,GB,08-18-2020
kyra,49.58,111.98,43.628000000000064,83.0,0.0,0.22,RU,08-18-2020
yatou,37.15,122.38,75.93800000000005,97.0,44.0,4.04,CN,08-18-2020
srednekolymsk,67.45,153.68,44.52800000000006,71.0,100.0,0.44,RU,08-18-2020
nanakuli,21.39,-158.15,78.8,69.0,1.0,2.1,US,08-18-2020
la asuncion,11.03,-63.86,87.8,62.0,100.0,6.7,VE,08-18-2020
ostersund,63.18,14.64,66.2,68.0,98.0,4.1,SE,08-18-2020
bubaque,11.28,-15.83,81.24800000000002,84.0,100.0,7.74,GW,08-18-2020
hit,33.64,42.83,89.52800000000006,13.0,0.0,4.68,IQ,08-18-2020
coquimbo,-29.95,-71.34,55.4,62.0,75.0,4.6,CL,08-18-2020
chuy,-33.7,-53.46,62.780000000000044,64.0,0.0,0.83,UY,08-18-2020
belogorsk,50.92,128.46,46.346000000000046,77.0,0.0,3.87,RU,08-18-2020
semirom,31.42,51.57,60.998000000000026,42.0,0.0,1.91,IR,08-18-2020
avarua,-21.21,-159.78,71.6,78.0,81.0,6.2,CK,08-18-2020
mecca,21.43,39.83,92.73200000000001,36.0,51.0,3.09,SA,08-18-2020
progreso,21.28,-89.67,89.6,62.0,75.0,2.1,MX,08-18-2020
la ronge,55.1,-105.28,75.2,73.0,5.0,5.1,CA,08-18-2020
ladnun,27.65,74.38,88.32200000000003,66.0,17.0,4.95,IN,08-18-2020
kristianstad,56.03,14.15,71.00600000000003,77.0,52.0,2.1,SE,08-18-2020
severnyy,50.68,36.55,75.2,50.0,22.0,2.0,RU,08-18-2020
svilajnac,44.23,21.2,64.4,100.0,75.0,1.5,RS,08-18-2020
abong mbang,3.98,13.18,70.7,94.0,75.0,1.15,CM,08-18-2020
tiksi,71.69,128.87,38.87600000000009,87.0,100.0,5.98,RU,08-18-2020
kenai,60.55,-151.26,62.00600000000003,77.0,40.0,4.6,US,08-18-2020
castro,-24.79,-50.01,60.65600000000003,93.0,100.0,4.54,BR,08-18-2020
peruc,50.34,13.96,66.00200000000008,84.0,100.0,0.89,CZ,08-18-2020
garissa,-0.45,39.64,76.56800000000008,71.0,100.0,10.02,KE,08-18-2020
mnogovershinnyy,53.94,139.92,49.29800000000002,100.0,100.0,3.86,RU,08-18-2020
kaeo,-35.1,173.78,59.82800000000007,92.0,100.0,6.87,NZ,08-18-2020
kaa-khem,51.68,94.73,61.952000000000076,57.0,6.0,2.44,RU,08-18-2020
pierre,44.37,-100.35,93.00200000000008,33.0,1.0,8.7,US,08-18-2020
kaoma,-14.78,24.8,66.97400000000002,26.0,0.0,0.95,ZM,08-18-2020
ornskoldsvik,63.29,18.72,62.6,88.0,1.0,2.1,SE,08-18-2020
tuktoyaktuk,69.45,-133.04,55.4,76.0,75.0,4.1,CA,08-18-2020
deputatskiy,69.3,139.9,40.04600000000005,91.0,100.0,1.06,RU,08-18-2020
nome,64.5,-165.41,62.99600000000005,71.0,1.0,0.54,US,08-18-2020
tieli,46.95,128.05,60.314000000000036,96.0,100.0,3.06,CN,08-18-2020
husavik,66.04,-17.34,51.8,76.0,90.0,7.2,IS,08-18-2020
rawson,-43.3,-65.1,42.530000000000044,64.0,100.0,14.83,AR,08-18-2020
mpika,-11.83,31.45,65.33600000000007,37.0,93.0,1.4,ZM,08-18-2020
ola,59.58,151.28,50.72000000000006,89.0,100.0,5.13,RU,08-18-2020
mogapi,-22.32,27.83,71.6,33.0,0.0,4.68,BW,08-18-2020
bonavista,48.65,-53.11,60.008,78.0,100.0,4.47,CA,08-18-2020
rorvik,64.86,11.24,55.4,87.0,18.0,4.1,NO,08-18-2020
esik,43.36,77.45,60.8,63.0,40.0,1.68,KZ,08-18-2020
longyearbyen,78.22,15.64,44.6,70.0,75.0,7.2,SJ,08-18-2020
alta floresta,-9.88,-56.09,104.0,15.0,8.0,3.1,BR,08-18-2020
kristiansund,63.11,7.73,66.2,72.0,42.0,2.1,NO,08-18-2020
christchurch,-43.53,172.63,51.008,81.0,100.0,7.2,NZ,08-18-2020
skjervoy,70.03,20.97,51.8,93.0,75.0,8.2,NO,08-18-2020
codrington,-38.27,141.97,47.174000000000014,94.0,100.0,3.55,AU,08-18-2020
ust-maya,60.42,134.53,45.55400000000005,86.0,100.0,1.16,RU,08-18-2020
broome,42.25,-75.83,75.99199999999999,49.0,75.0,5.7,US,08-18-2020
skibbereen,51.55,-9.27,62.6,82.0,40.0,5.1,IE,08-18-2020
qaqortoq,60.72,-46.03,64.4,42.0,20.0,3.1,GL,08-18-2020
sault sainte marie,46.52,-84.33,66.2,59.0,40.0,5.7,CA,08-18-2020
nyurba,63.28,118.33,47.570000000000064,74.0,2.0,1.87,RU,08-18-2020
chaadayevka,53.14,45.91,62.00600000000003,50.0,0.0,1.83,RU,08-18-2020
jining,35.41,116.58,77.64800000000002,93.0,0.0,1.39,CN,08-18-2020
ribeira grande,38.52,-28.7,77.0,88.0,75.0,11.3,PT,08-18-2020
latung,5.5,120.88,82.97600000000008,70.0,100.0,1.04,PH,08-18-2020
hamilton,39.18,-84.53,66.2,93.0,90.0,1.5,US,08-18-2020
tecuala,22.4,-105.46,94.96400000000003,48.0,92.0,0.54,MX,08-18-2020
northam,51.03,-4.22,64.99400000000007,89.0,23.0,0.89,GB,08-18-2020
bengkulu,-3.8,102.27,76.11800000000008,83.0,91.0,2.16,ID,08-18-2020
altamont,42.21,-121.74,87.00800000000001,30.0,1.0,1.5,US,08-18-2020
maragogi,-9.01,-35.22,76.46000000000008,80.0,56.0,5.66,BR,08-18-2020
gornopravdinsk,60.05,69.9,52.97000000000006,95.0,16.0,1.85,RU,08-18-2020
darlawn,24.02,92.9,68.61200000000005,100.0,100.0,0.54,IN,08-18-2020
hami,42.8,93.45,81.12200000000004,16.0,0.0,2.57,CN,08-18-2020
rumoi,43.93,141.64,68.95400000000005,74.0,88.0,3.0,JP,08-18-2020
majene,-3.54,118.97,75.2,85.0,7.0,4.78,ID,08-18-2020
marawi,8.0,124.29,73.00400000000005,95.0,100.0,2.24,PH,08-18-2020
xicotencatl,23.02,-98.88,93.99199999999999,33.0,89.0,0.45,MX,08-18-2020
kruisfontein,-34.0,24.73,48.758,75.0,77.0,9.92,ZA,08-18-2020
puerto quijarro,-17.78,-57.77,104.99000000000002,13.0,0.0,3.24,BO,08-18-2020
severo-kurilsk,50.68,156.12,49.604000000000056,91.0,100.0,5.19,RU,08-18-2020
ancud,-41.87,-73.82,46.99400000000007,65.0,75.0,4.6,CL,08-18-2020
dagda,56.1,27.54,61.141999999999996,75.0,100.0,2.26,LV,08-18-2020
acapulco,16.86,-99.89,86.0,74.0,40.0,3.1,MX,08-18-2020
hofn,64.25,-15.21,50.378000000000064,88.0,91.0,7.13,IS,08-18-2020
grand gaube,-20.01,57.66,71.99600000000005,73.0,5.0,4.47,MU,08-18-2020
ngorongoro,-3.24,35.49,54.69800000000002,57.0,38.0,2.42,TZ,08-18-2020
thompson,55.74,-97.86,68.0,60.0,75.0,3.1,CA,08-18-2020
mayumba,-3.43,10.66,73.4,89.0,97.0,4.49,GA,08-18-2020
manokwari,-0.87,134.08,78.18800000000005,79.0,100.0,1.97,ID,08-18-2020
salto,-31.38,-57.97,73.4,35.0,0.0,2.6,UY,08-18-2020
cabo san lucas,22.89,-109.91,93.2,66.0,75.0,6.2,MX,08-18-2020
minden,52.28,8.92,73.00400000000005,60.0,94.0,3.1,DE,08-18-2020
alofi,-19.06,-169.92,73.4,94.0,25.0,5.1,NU,08-18-2020
laguna,38.42,-121.42,98.99600000000005,26.0,1.0,4.1,US,08-18-2020
amapa,1.0,-52.0,94.08200000000002,38.0,62.0,2.12,BR,08-18-2020
nanortalik,60.14,-45.24,52.34000000000002,64.0,0.0,2.81,GL,08-18-2020
norman wells,65.28,-126.83,57.2,71.0,75.0,1.5,CA,08-18-2020
constitucion,-35.33,-72.42,52.93399999999999,72.0,100.0,3.41,CL,08-18-2020
pavino,59.11,46.14,44.564000000000036,85.0,13.0,2.69,RU,08-18-2020
kaitangata,-46.28,169.85,46.004000000000055,69.0,100.0,0.89,NZ,08-18-2020
port moresby,-9.44,147.18,69.8,94.0,75.0,1.5,PG,08-18-2020
xining,36.62,101.77,50.48600000000007,73.0,4.0,1.28,CN,08-18-2020
homnabad,17.77,77.13,72.19400000000007,91.0,100.0,6.33,IN,08-18-2020
itumba,-9.4,33.18,61.71800000000009,57.0,94.0,2.28,TZ,08-18-2020
ceres,37.59,-120.96,96.99800000000002,32.0,1.0,4.1,US,08-18-2020
coracora,-15.03,-73.78,61.32200000000004,29.0,60.0,5.92,PE,08-18-2020
omboue,-1.57,9.26,75.02000000000007,87.0,68.0,4.92,GA,08-18-2020
claveria,18.61,121.08,80.15,80.0,100.0,1.0,PH,08-18-2020
bowen,-20.02,148.23,60.998000000000026,93.0,0.0,3.48,AU,08-18-2020
ulaangom,49.98,92.07,62.041999999999994,68.0,100.0,1.28,MN,08-18-2020
zeya,53.75,127.27,42.674000000000014,78.0,0.0,2.45,RU,08-18-2020
mitsamiouli,-11.38,43.28,77.0,78.0,20.0,1.0,KM,08-18-2020
college,64.86,-147.8,62.99600000000005,59.0,20.0,1.5,US,08-18-2020
puerto escondido,15.85,-97.07,87.8,66.0,5.0,4.1,MX,08-18-2020
tangjiazhuang,39.73,118.45,67.82000000000006,89.0,100.0,2.63,CN,08-18-2020
gat,31.61,34.76,82.00400000000005,45.0,0.0,1.16,IL,08-18-2020
zabaykalsk,49.63,117.32,45.662000000000056,61.0,0.0,1.75,RU,08-18-2020
tura,25.52,90.22,75.32600000000009,95.0,75.0,2.36,IN,08-18-2020
sao filipe,14.9,-24.5,79.19600000000005,85.0,20.0,1.85,CV,08-18-2020
awjilah,29.11,21.29,88.03399999999999,30.0,0.0,5.28,LY,08-18-2020
sorland,67.67,12.69,51.8,76.0,90.0,1.5,NO,08-18-2020
sao jose da coroa grande,-8.9,-35.15,76.87400000000001,79.0,31.0,5.82,BR,08-18-2020
truth or consequences,33.13,-107.25,89.6,24.0,1.0,2.6,US,08-18-2020
alice springs,-23.7,133.88,53.6,22.0,0.0,3.6,AU,08-18-2020
banjar,-8.19,114.97,77.0,100.0,40.0,3.6,ID,08-18-2020
luderitz,-26.65,15.16,57.938000000000045,44.0,0.0,13.63,NA,08-18-2020
angoche,-16.23,39.91,72.93200000000002,83.0,0.0,3.63,MZ,08-18-2020
keetmanshoop,-26.58,18.13,44.88800000000005,48.0,0.0,4.25,NA,08-18-2020
susangerd,31.56,48.18,98.6,16.0,0.0,3.1,IR,08-18-2020
faanui,-16.48,-151.75,78.09800000000003,77.0,0.0,7.67,PF,08-18-2020
kawalu,-7.38,108.21,70.934,91.0,98.0,1.0,ID,08-18-2020
eyl,7.98,49.82,78.53000000000004,74.0,97.0,11.25,SO,08-18-2020
zeerust,-25.54,26.08,44.6,20.0,0.0,5.7,ZA,08-18-2020
maku,39.29,44.45,70.89800000000002,51.0,0.0,1.4,IR,08-18-2020
atambua,-9.11,124.89,67.316,84.0,99.0,1.75,ID,08-18-2020
ponta do sol,32.67,-17.1,73.99400000000007,71.0,0.0,1.48,PT,08-18-2020
araouane,18.9,-3.53,102.27200000000003,27.0,26.0,4.72,ML,08-18-2020
pevek,69.7,170.31,39.182000000000016,88.0,100.0,5.22,RU,08-18-2020
high level,58.52,-117.14,71.6,73.0,75.0,1.0,CA,08-18-2020
saldanha,-33.01,17.94,50.0,71.0,100.0,1.5,ZA,08-18-2020
lima,-12.04,-77.03,62.6,77.0,90.0,3.6,PE,08-18-2020
vanavara,60.34,102.28,50.432000000000016,61.0,6.0,2.63,RU,08-18-2020
vardo,70.37,31.11,51.8,81.0,93.0,7.7,NO,08-18-2020
taltal,-25.4,-70.48,58.37000000000006,60.0,10.0,3.26,CL,08-18-2020
roma,43.21,-75.46,73.4,60.0,40.0,6.2,US,08-18-2020
raga,8.46,25.68,72.77000000000007,91.0,100.0,1.02,SS,08-18-2020
santa rosa,14.31,121.11,78.99800000000002,94.0,100.0,0.5,PH,08-18-2020
oneonta,42.45,-75.06,73.99400000000007,70.0,0.0,0.89,US,08-18-2020
denia,38.84,0.11,82.00400000000005,68.0,66.0,2.16,ES,08-18-2020
havoysund,71.0,24.66,48.2,93.0,75.0,2.6,NO,08-18-2020
saint-pierre,-21.34,55.48,66.2,77.0,3.0,2.6,RE,08-18-2020
ewo,-0.87,14.82,79.61000000000008,74.0,100.0,1.99,CG,08-18-2020
leningradskiy,69.38,178.42,45.878000000000064,63.0,8.0,2.54,RU,08-18-2020
port-gentil,-0.72,8.78,77.0,88.0,90.0,7.27,GA,08-18-2020
khasan,42.43,130.64,72.51800000000009,91.0,0.0,0.55,RU,08-18-2020
smithers,54.78,-127.17,60.8,82.0,75.0,1.15,CA,08-18-2020
ullapool,57.9,-5.16,62.99600000000005,83.0,32.0,0.89,GB,08-18-2020
zaltan,32.95,11.87,83.03000000000004,69.0,0.0,5.43,LY,08-18-2020
yakeshi,49.28,120.73,41.57600000000009,87.0,0.0,0.6,CN,08-18-2020
mana,5.66,-53.78,83.58800000000005,76.0,12.0,5.15,GF,08-18-2020
basco,20.45,121.97,83.91200000000006,81.0,100.0,4.74,PH,08-18-2020
zhanakorgan,43.91,67.25,64.79600000000005,29.0,0.0,1.18,KZ,08-18-2020
viedma,-40.81,-63.0,48.00200000000008,39.0,0.0,3.58,AR,08-18-2020
pisco,-13.7,-76.22,68.0,68.0,4.0,5.7,PE,08-18-2020
darnah,32.77,22.64,78.78200000000001,81.0,0.0,6.05,LY,08-18-2020
lebedyn,50.59,34.48,71.16800000000009,54.0,99.0,2.23,UA,08-18-2020
turukhansk,65.82,87.98,58.17200000000004,57.0,10.0,5.46,RU,08-18-2020
kodiak,57.79,-152.41,57.2,76.0,75.0,3.1,US,08-18-2020
moranbah,-22.0,148.05,59.9,67.0,0.0,5.86,AU,08-18-2020
syracuse,37.09,15.28,82.4,78.0,0.0,1.5,IT,08-18-2020
senneterre,48.38,-77.23,60.8,77.0,75.0,4.6,CA,08-18-2020
san patricio,19.22,-104.7,78.8,83.0,75.0,4.1,MX,08-18-2020
